library,version,container
pyhs2,0.6.0,<pip>
pykerberos,1.1.14,<pip>
pylint,1.6.4,py27_1
pymssql,2.1.3,<pip>
pyodbc,4.0.17,py27_0
pyopenssl,16.2.0,py27_0
pyparsing,2.1.4,py27_0
pyqt,5.6.0,py27_2
pyqt5,5.5.0,py27_0
pytables,3.4.2,np112py27_0
pytest,3.0.5,py27_0
pytest-qt,1.11.0,py_0
python,2.7.13,0
python-daemon,2.1.2,<pip>
python-dateutil,2.6.0,<pip>
python-dateutil,2.6.0,py27_0
python-dateutil,2.6.1,<pip>
python-editor,1.0.3,<pip>
python-nvd3,0.14.2,<pip>
python-slugify,1.1.4,<pip>
pytz,2016.10,<pip>
pytz,2016.10,py27_0
pytz,2017.2,<pip>
pywavelets,0.5.2,np112py27_0
pyyaml,3.12,py27_0
pyzmq,16.0.2,py27_0
qt,5.6.2,3
qt5,5.5.0,0
qtawesome,0.4.3,py27_0
qtconsole,4.2.1,py27_1
qtpy,1.2.1,py27_0
readline,6.2,2
redis,3.2.0,0
redis-py,2.10.5,py27_0
requests,2.12.4,py27_0
requests,2.14.2,<pip>
requests,2.9.1,<pip>
requests-kerberos,0.11.0,<pip>
requests-oauthlib,0.8.0,<pip>
requests-toolbelt,0.8.0,<pip>
rope,0.9.4,py27_1
rsa,3.1.2,<pip>
ruamel_yaml,0.11.14,py27_1
s3transfer,0.1.10,<pip>
sasl,0.2.1,<pip>
scandir,1.4,py27_0
scikit-image,0.13.0,np112py27_0
scikit-learn,0.19.0,np112py27_0
scipy,0.19.0,<pip>
scipy,0.19.1,np112py27_0
seaborn,0.7.1,py27_0
setproctitle,1.1.10,<pip>
setuptools,27.2.0,py27_0
simplegeneric,0.8.1,py27_1
singledispatch,3.4.0.3,py27_0
sip,4.18,py27_0
six,1.10.0,py27_0
smart-open,1.4.0,<pip>
smmap2,2.0.1,<pip>
snakebite,2.11.0,<pip>
snowballstemmer,1.2.1,py27_0
sockjs-tornado,1.0.3,py27_0
sphinx,1.5.1,py27_0
sphinx-argparse,0.2.0,<pip>
sphinx-rtd-theme,0.2.4,<pip>
spyder,3.1.2,py27_0
sqlalchemy,1.1.5,py27_0
sqlalchemy-hana,0.2.2,<pip>
sqlite,3.13.0,0
sqlparse,0.2.3,<pip>
ssl_match_hostname,3.4.0.2,py27_1
statsmodels,0.8.0,np112py27_0
subprocess32,3.2.7,py27_0
sympy,1.0,py27_0
tabulate,0.7.7,<pip>
tempora,1.6.1,<pip>
teradata,15.10.0.21,<pip>
terminado,0.6,py27_0
thrift,0.9.3,<pip>
thrift-sasl,0.2.1,<pip>
thriftpy,0.3.9,<pip>
tk,8.5.18,0
toolz,0.8.2,py27_0
toree,0.1.0,<pip>
tornado,4.3,<pip>
tornado,4.4.2,py27_0
tornado,4.5.1,<pip>
traitlets,4.3.1,py27_0
unicodecsv,0.14.1,py27_0
unixodbc,2.3.4,0
untangle,1.1.0,<pip>
urllib3,1.20,py27_1
vaderSentiment,2.5,<pip>
vine,1.1.3,<pip>
wcwidth,0.1.7,py27_0
werkzeug,0.11.15,py27_0
wheel,0.29.0,py27_0
widgetsnbextension,1.2.6,py27_0
wrapt,1.10.8,py27_0
xlrd,1.0.0,py27_0
xlsxwriter,0.9.6,py27_0
xlwt,1.2.0,py27_0
xmltodict,0.10.2,<pip>
xz,5.2.2,1
yaml,0.1.6,0
yellowbrick,0.4,<pip>
zeromq,4.1.5,0
zlib,1.2.8,3
zope.deprecation,4.2.0,<pip>
